1778498082.499140475,234.02
1778498082.715064039,206.59
1778498082.928411194,180.04
1778498083.097372300,166.80
1778498083.274612581,154.52
1778498083.441707879,155.76
1778498083.610407420,156.40
1778498083.776845711,157.08
1778498083.944775124,157.22
1778498084.123618122,155.79
1778498084.363260078,154.71
1778498084.542148813,154.68
1778498084.712742661,154.63
1778498084.878179196,154.61
1778498085.042988258,154.48
1778498085.203377483,168.10
1778498085.377753525,210.85
1778498085.540089225,232.52
1778498085.700988852,273.55
1778498085.870242762,316.49
1778498086.032210125,357.61
1778498086.199735829,386.61
1778498086.376610355,387.55
1778498086.542606378,385.64
1778498086.711076514,387.61
1778498086.868276243,385.70
1778498087.054051489,388.39
1778498087.219851450,388.76
1778498087.398546462,386.62
1778498087.569170998,388.74
1778498087.738518611,386.20
1778498087.909361262,388.24
1778498088.078700048,387.93
1778498088.248061833,385.52
1778498088.414307702,387.93
1778498088.580347710,379.20
1778498088.763102101,365.32
1778498088.941828076,348.38
1778498089.124155682,333.57
1778498089.313533755,316.08
1778498089.494017323,307.49
1778498089.671532978,298.51
1778498089.848833175,297.95
1778498090.017507649,297.66
1778498090.197702337,297.04
1778498090.364458144,284.54
