moe_128K_q8_pf_none rc=0 t0=1778506294.098429661 t_end=1778506332.389026357
moe_256K_q8_pf_none rc=0 t0=1778506332.391951748 t_end=1778506361.514778627
moe_512K_q8_pf_none rc=0 t0=1778506361.517932984 t_end=1778506380.308647847
moe_128K_q8_pf_dfl4 rc=0 t0=1778506380.310972410 t_end=1778506394.543608722
moe_256K_q8_pf_dfl4 rc=0 t0=1778506394.545907321 t_end=1778506411.673434174
moe_512K_q8_pf_dfl4 rc=0 t0=1778506411.675735263 t_end=1778506426.943260027
dense_32K_q8_pf_none rc=0 t0=1778506426.945586613 t_end=1778506465.880651573
dense_64K_q8_pf_none rc=0 t0=1778506465.883458028 t_end=1778506521.973473817
dense_32K_q8_pf_dfl16 rc=0 t0=1778506521.975687700 t_end=1778506544.721802045
dense_64K_q8_pf_dfl16 rc=0 t0=1778506544.724430357 t_end=1778506976.592839688
dense_32K_tq3_pf_dfl16 rc=0 t0=1778506976.595270302 t_end=1778507010.172810046
dense_64K_tq3_pf_dfl16 rc=0 t0=1778507010.175142504 t_end=1778507137.204674843
