1778506426.945810743,255.16
1778506427.085584095,209.99
1778506427.359692910,180.84
1778506427.530804495,153.90
1778506427.709412867,155.87
1778506427.878805833,156.52
1778506428.037787213,156.37
1778506428.197227478,155.90
1778506428.433593216,155.00
1778506428.591945159,153.93
1778506428.741375660,151.68
1778506428.896714595,150.84
1778506429.070179679,150.78
1778506429.228766604,150.75
1778506429.391806199,150.70
1778506429.556627570,148.36
1778506429.710365591,145.93
1778506429.865466252,141.11
1778506430.028957061,136.33
1778506430.183432793,131.53
1778506430.343820097,129.12
1778506430.500756536,124.28
1778506430.657475647,124.12
1778506430.820525152,124.10
1778506430.980496984,123.99
1778506431.142320546,123.88
1778506431.306624911,123.79
1778506431.470468851,123.74
1778506431.632386242,123.68
1778506431.790379542,123.61
1778506431.946196664,123.56
1778506432.100450251,123.49
1778506432.256267935,123.44
1778506432.411811392,123.38
1778506432.568588054,123.35
1778506432.725652109,123.29
1778506432.886153825,123.29
1778506433.041877772,123.26
1778506433.200764538,123.23
1778506433.359458285,123.15
1778506433.521016702,123.10
1778506433.679672131,123.07
1778506433.836221993,122.95
1778506433.994729254,122.87
1778506434.152900774,122.83
1778506434.313552381,122.72
1778506434.475122278,122.69
1778506434.628937187,122.65
1778506434.789077264,122.59
1778506434.945200322,122.49
1778506437.650955113,122.44
1778506437.810404193,122.43
1778506437.966111009,122.40
1778506438.124673717,122.33
1778506438.282191355,122.28
1778506438.437907510,122.20
1778506438.599617828,122.15
1778506438.759187480,122.13
1778506438.916302277,122.07
1778506439.080475502,122.03
1778506439.238284875,122.01
1778506439.396307154,122.03
1778506439.554429706,122.04
1778506439.714129396,121.97
1778506439.872093167,121.93
1778506440.021657466,121.84
1778506440.187501478,121.77
1778506440.353373559,121.70
1778506440.509761832,121.65
1778506440.666076110,121.57
1778506440.821525634,121.54
1778506440.975083080,121.56
1778506441.150800758,121.53
1778506441.309547803,121.47
1778506441.476511453,121.43
1778506441.643499817,121.43
1778506441.828010780,121.43
1778506442.010924647,121.41
1778506442.174959675,121.40
1778506442.338292710,121.41
1778506442.494495283,121.42
1778506442.651303226,121.42
1778506442.810328333,121.43
1778506442.988882537,121.37
1778506443.145416129,121.37
1778506443.301598337,121.37
1778506443.460781235,121.39
1778506443.621606070,121.39
1778506443.785884602,121.38
1778506443.943159305,121.37
1778506444.105325266,121.42
1778506444.267110143,121.41
1778506444.422608311,121.41
1778506444.581156908,121.36
1778506444.739545859,121.34
1778506444.895337733,121.31
1778506445.052950769,121.27
1778506445.211116989,121.25
