dense_none_ctx1024 rc=0 t0=1778493471.125807121 t_end=1778493502.807689396
dense_mtp_g2_ctx1024 rc=0 t0=1778493502.812105890 t_end=1778493508.854407510
dense_mtp_g4_ctx1024 rc=0 t0=1778493508.857344825 t_end=1778493513.890513792
dense_dflash_dm4_ctx1024 rc=0 t0=1778493513.893025792 t_end=1778493523.360920341
dense_none_ctx4096 rc=0 t0=1778493523.363479737 t_end=1778493534.448849929
dense_mtp_g2_ctx4096 rc=0 t0=1778493534.451342411 t_end=1778493544.853634383
dense_mtp_g4_ctx4096 rc=0 t0=1778493544.856567980 t_end=1778493556.786606031
dense_dflash_dm4_ctx4096 rc=0 t0=1778493556.789154738 t_end=1778493567.845853414
dense_none_ctx8192 rc=0 t0=1778493567.848298388 t_end=1778493583.175090400
dense_mtp_g2_ctx8192 rc=0 t0=1778493583.177661139 t_end=1778493596.357396200
dense_mtp_g4_ctx8192 rc=0 t0=1778493596.359878302 t_end=1778493609.380587301
dense_dflash_dm4_ctx8192 rc=0 t0=1778493609.383155479 t_end=1778493627.062893924
