1778501250.254350558,356.79
1778501250.442084508,265.02
1778501250.874364849,227.06
1778501251.067063448,190.43
1778501251.232123072,154.12
1778501251.398618325,151.33
1778501251.564726730,151.84
1778501251.720780680,152.51
1778501251.892474141,152.11
1778501252.058245286,150.73
1778501252.222049530,150.12
1778501252.393903753,150.04
1778501252.560378310,150.05
1778501252.727806128,150.16
1778501252.888776081,150.32
1778501253.063342915,149.03
1778501253.225585242,145.99
1778501253.407244395,144.44
1778501253.570818965,144.54
1778501253.731185774,144.74
1778501253.885658954,175.16
1778501254.050598662,219.78
1778501254.231814135,266.87
1778501254.418866205,311.24
1778501254.577598086,355.49
1778501254.744293063,375.45
1778501254.911162144,389.01
1778501255.080136904,389.49
1778501255.254215251,385.54
1778501255.418379504,385.86
1778501255.592276806,386.83
1778501255.764353432,387.52
1778501255.926910214,387.81
1778501256.098368707,388.15
1778501256.262332685,391.50
1778501256.449846757,391.76
1778501256.622057755,390.51
1778501256.798864194,386.84
1778501256.976327685,386.06
1778501257.147561536,385.35
1778501257.307112576,386.95
1778501258.283816416,385.63
1778501259.821760856,386.78
1778501259.983083260,390.48
1778501260.153146686,389.65
1778501260.324140272,391.24
1778501260.497914934,384.12
1778501260.664863875,385.11
1778501260.827749506,385.11
1778501260.986150247,386.64
1778501261.151165780,385.82
1778501261.323954376,386.47
1778501261.618435985,390.74
1778501261.793503369,391.12
1778501261.964005001,390.67
1778501262.135735516,381.41
1778501262.298844285,379.17
1778501262.466893421,373.59
1778501262.635816889,366.74
1778501262.813913033,361.42
1778501262.982874028,354.75
1778501263.150611836,354.92
1778501263.313384751,357.60
1778501263.472791187,357.79
1778501263.635718310,357.31
1778501263.795856237,358.55
1778501263.958845813,359.38
1778501264.123789905,361.42
