dense_none_code_ctx1024 rc=0 t0=1778493729.439653289 t_end=1778493736.206895933
dense_none_prose_ctx1024 rc=0 t0=1778493736.209554069 t_end=1778493744.354105849
dense_mtp_g2_code_ctx1024 rc=0 t0=1778493744.356593606 t_end=1778493749.293561210
dense_mtp_g2_prose_ctx1024 rc=0 t0=1778493749.296011162 t_end=1778493754.843561820
dense_mtp_g4_code_ctx1024 rc=0 t0=1778493754.845998859 t_end=1778493759.310989216
dense_mtp_g4_prose_ctx1024 rc=0 t0=1778493759.313504765 t_end=1778493764.880946278
dense_dflash_dm4_code_ctx1024 rc=0 t0=1778493764.883578486 t_end=1778493769.965359654
dense_dflash_dm4_prose_ctx1024 rc=0 t0=1778493769.968024472 t_end=1778493778.113263917
dense_none_code_ctx4096 rc=0 t0=1778493778.115916122 t_end=1778493787.955745964
dense_none_prose_ctx4096 rc=0 t0=1778493787.958475582 t_end=1778493798.851220275
dense_mtp_g2_code_ctx4096 rc=0 t0=1778493798.853851136 t_end=1778493809.314837982
dense_mtp_g2_prose_ctx4096 rc=0 t0=1778493809.317596576 t_end=1778493819.891179625
dense_mtp_g4_code_ctx4096 rc=0 t0=1778493819.893721986 t_end=1778493828.620956272
dense_mtp_g4_prose_ctx4096 rc=0 t0=1778493828.623466374 t_end=1778493840.469261460
dense_dflash_dm4_code_ctx4096 rc=0 t0=1778493840.473240827 t_end=1778493849.851219103
dense_dflash_dm4_prose_ctx4096 rc=0 t0=1778493849.853729911 t_end=1778493860.775135943
dense_none_code_ctx8192 rc=0 t0=1778493860.777684857 t_end=1778493876.091688630
dense_none_prose_ctx8192 rc=0 t0=1778493876.094174087 t_end=1778493889.718723136
dense_mtp_g2_code_ctx8192 rc=0 t0=1778493889.721258751 t_end=1778493904.055681657
dense_mtp_g2_prose_ctx8192 rc=0 t0=1778493904.058381780 t_end=1778493917.392059055
dense_mtp_g4_code_ctx8192 rc=0 t0=1778493917.394682800 t_end=1778493932.282096287
dense_mtp_g4_prose_ctx8192 rc=0 t0=1778493932.284695940 t_end=1778493945.456416658
dense_dflash_dm4_code_ctx8192 rc=0 t0=1778493945.459079697 t_end=1778493958.678591399
dense_dflash_dm4_prose_ctx8192 rc=0 t0=1778493958.681355752 t_end=1778493976.236547303
dense_none_code_ctx16384 rc=0 t0=1778493976.239195989 t_end=1778493999.064761738
dense_none_prose_ctx16384 rc=0 t0=1778493999.067699499 t_end=1778494019.984254405
dense_mtp_g2_code_ctx16384 rc=0 t0=1778494019.987203017 t_end=1778494041.575080352
dense_mtp_g2_prose_ctx16384 rc=0 t0=1778494041.577590663 t_end=1778494064.044023312
dense_mtp_g4_code_ctx16384 rc=0 t0=1778494064.046493328 t_end=1778494083.533431643
dense_mtp_g4_prose_ctx16384 rc=0 t0=1778494083.535877036 t_end=1778494106.585327082
dense_dflash_dm4_code_ctx16384 rc=0 t0=1778494106.588210012 t_end=1778494129.397394456
dense_dflash_dm4_prose_ctx16384 rc=0 t0=1778494129.399932434 t_end=1778494151.720547370
dense_none_code_ctx32768 rc=0 t0=1778494151.723122079 t_end=1778494182.267142519
dense_none_prose_ctx32768 rc=0 t0=1778494182.269748481 t_end=1778494213.138290157
dense_mtp_g2_code_ctx32768 rc=0 t0=1778494213.140786893 t_end=1778494241.889721410
dense_mtp_g2_prose_ctx32768 rc=0 t0=1778494241.892756387 t_end=1778494272.857869403
dense_mtp_g4_code_ctx32768 rc=0 t0=1778494272.860450106 t_end=1778494301.606764988
dense_mtp_g4_prose_ctx32768 rc=0 t0=1778494301.609594268 t_end=1778494333.662634258
dense_dflash_dm4_code_ctx32768 rc=0 t0=1778494333.665233904 t_end=1778494363.010539269
dense_dflash_dm4_prose_ctx32768 rc=0 t0=1778494363.013085927 t_end=1778494395.040288784
dense_none_code_ctx65536 rc=0 t0=1778494395.042807461 t_end=1778494529.144125142
dense_none_prose_ctx65536 rc=0 t0=1778494529.146625026 t_end=1778494665.025499244
dense_mtp_g2_code_ctx65536 rc=0 t0=1778494665.028131201 t_end=1778494788.407309860
dense_mtp_g2_prose_ctx65536 rc=0 t0=1778494788.410083624 t_end=1778494915.081609930
dense_mtp_g4_code_ctx65536 rc=0 t0=1778494915.084268617 t_end=1778495041.883353033
dense_mtp_g4_prose_ctx65536 rc=0 t0=1778495041.885833491 t_end=1778495169.779115342
dense_dflash_dm4_code_ctx65536 rc=0 t0=1778495169.781684623 t_end=1778495292.846283798
dense_dflash_dm4_prose_ctx65536 rc=0 t0=1778495292.848934606 t_end=1778495415.409109384
dense_none_code_ctx131072 rc=0 t0=1778495415.411567110 t_end=1778495549.732735764
dense_none_prose_ctx131072 rc=0 t0=1778495549.735185325 t_end=1778495686.666496870
dense_mtp_g2_code_ctx131072 rc=0 t0=1778495686.669304755 t_end=1778495815.014263570
dense_mtp_g2_prose_ctx131072 rc=0 t0=1778495815.016979076 t_end=1778495942.596454558
dense_mtp_g4_code_ctx131072 rc=0 t0=1778495942.599090997 t_end=1778496069.734885320
dense_mtp_g4_prose_ctx131072 rc=0 t0=1778496069.737609917 t_end=1778496197.082517864
dense_dflash_dm4_code_ctx131072 rc=137 t0=1778496197.085285588 t_end=1778496942.284401573
dense_dflash_dm4_prose_ctx131072 rc=124 t0=1778496942.287451929 t_end=1778497902.519805309
moe_none_code_ctx1024 rc=0 t0=1778497902.522485824 t_end=1778497928.771365442
moe_none_prose_ctx1024 rc=0 t0=1778497928.775526295 t_end=1778497954.117817697
moe_mtp_g2_code_ctx1024 rc=0 t0=1778497954.120582053 t_end=1778497958.707294756
moe_mtp_g2_prose_ctx1024 rc=0 t0=1778497958.710036758 t_end=1778497962.959695578
moe_mtp_g4_code_ctx1024 rc=0 t0=1778497962.962205958 t_end=1778497966.849482461
moe_mtp_g4_prose_ctx1024 rc=0 t0=1778497966.852182686 t_end=1778497970.697035626
moe_dflash_dm4_code_ctx1024 rc=0 t0=1778497970.699429208 t_end=1778497975.400374173
moe_dflash_dm4_prose_ctx1024 rc=0 t0=1778497975.402872555 t_end=1778497979.846370218
moe_none_code_ctx4096 rc=0 t0=1778497979.848918177 t_end=1778497987.178321669
moe_none_prose_ctx4096 rc=0 t0=1778497987.180874931 t_end=1778497992.879953976
moe_mtp_g2_code_ctx4096 rc=0 t0=1778497992.882530155 t_end=1778497998.060456703
moe_mtp_g2_prose_ctx4096 rc=0 t0=1778497998.063653614 t_end=1778498003.813004998
moe_mtp_g4_code_ctx4096 rc=0 t0=1778498003.816150254 t_end=1778498008.895133297
