1778491693.839240052,283.11
1778491694.021013059,252.57
1778491694.171274252,223.84
1778491694.334524049,209.73
1778491694.503869722,180.72
1778491694.669620426,160.77
1778491694.831806020,160.70
1778491694.984707423,160.91
1778491695.147992025,161.34
1778491695.303546445,159.79
1778491695.465097661,158.95
1778491695.625196780,157.94
1778491695.780964255,157.92
1778491695.937077354,158.03
1778491696.098491397,157.98
1778491696.257116778,157.85
1778491696.423636320,157.31
1778491696.579352462,156.48
1778491696.729829821,189.42
1778491696.882394652,211.11
1778491697.034939371,251.54
1778491697.185204813,272.90
1778491697.345045999,315.43
1778491697.500521299,358.33
1778491697.653185766,380.42
1778491697.815303969,388.69
1778491697.973097471,389.88
1778491698.128736736,392.41
1778491698.285302225,390.94
1778491698.445636146,392.87
1778491698.607887558,388.97
1778491698.776156003,389.24
1778491698.935868141,391.01
1778491699.090484848,388.46
1778491699.252328194,387.70
1778491699.405621108,391.60
1778491699.562643682,388.56
1778491699.718668388,391.55
1778491699.873450321,392.05
1778491700.028014059,387.53
1778491700.186093188,390.70
1778491700.344922798,385.49
1778491700.495866616,386.27
1778491700.650030541,389.62
1778491700.808001908,385.71
1778491700.962275735,384.62
1778491701.120052856,388.45
1778491701.278052370,384.07
1778491701.437715568,389.60
1778491701.594788911,389.45
1778491701.749596715,384.70
1778491701.903864136,388.95
1778491702.059283945,389.59
1778491702.213839022,389.65
1778491702.369364587,389.33
1778491702.522427675,389.16
1778491702.678497696,389.07
1778491702.834504693,388.88
1778491702.989976641,389.47
1778491703.151958672,384.34
1778491703.377583379,390.01
1778491703.532872010,389.93
1778491703.686229023,383.90
1778491703.841335243,389.67
1778491704.002849004,389.44
1778491704.158881694,389.28
1778491704.315516490,386.97
1778491704.474566546,386.78
1778491704.628174344,387.57
1778491704.794510706,386.84
1778491704.956913025,387.41
1778491705.125565124,387.50
1778491705.283703418,386.79
1778491705.436213042,387.07
1778491705.591586708,387.08
1778491705.746230647,385.76
1778491705.916070917,386.49
1778491706.067572148,387.07
1778491706.224216016,389.97
1778491706.378866175,387.76
1778491706.533867857,387.77
1778491706.689387454,387.71
1778491706.849628872,386.04
1778491707.027288635,385.66
1778491707.182905458,385.24
1778491707.341827156,383.07
1778491707.501211381,384.43
1778491707.662100080,382.86
1778491709.462045141,389.68
1778491709.619738513,382.77
1778491709.781094746,383.73
1778491709.938717815,383.52
1778491710.100410914,392.34
1778491710.255751265,383.92
1778491710.411185946,383.58
1778491710.566612259,383.05
1778491710.722991096,382.92
1778491710.879910516,384.24
1778491711.036104765,384.21
1778491711.189957457,392.51
1778491711.353079280,383.98
1778491711.633515178,383.33
1778491711.790041551,387.04
1778491712.000061444,383.39
1778491712.172714821,383.27
1778491712.329629343,390.45
1778491712.483886515,382.98
1778491712.645156682,382.93
1778491712.799600984,382.91
1778491712.959887979,391.28
1778491713.133581349,381.70
1778491713.288816888,381.86
1778491713.445499828,382.09
1778491713.602451684,391.22
1778491713.762749431,381.59
1778491713.917420387,382.74
1778491714.072646065,381.78
1778491714.228505666,391.11
1778491714.388279066,382.28
1778491714.544122869,381.14
1778491714.698747765,383.86
1778491714.860994221,391.19
1778491715.016495876,380.82
1778491715.168025017,381.53
1778491715.349891469,390.69
1778491715.507628932,383.01
1778491715.665799602,379.95
1778491715.821625556,380.15
1778491715.992257426,388.83
1778491716.148774963,388.74
1778491716.307014919,379.57
1778491716.465130549,379.46
1778491716.628331627,386.80
1778491716.799045901,389.27
1778491716.961546563,379.97
1778491717.114019130,379.90
1778491717.283730404,391.05
1778491717.439139253,389.72
1778491717.630941990,379.11
1778491717.812820160,379.38
1778491717.983301059,388.68
1778491718.149479416,388.47
1778491718.316785856,378.64
1778491718.484116494,378.68
1778491718.638005899,389.17
1778491718.933020925,377.37
1778491719.178316674,377.95
1778491719.340294486,387.31
1778491719.496772324,376.13
1778491719.650072370,376.48
1778491719.807834490,376.73
1778491719.961878314,387.15
1778491720.133849220,387.89
1778491720.711624135,387.46
1778491720.863551765,387.78
1778491721.021741736,376.00
1778491721.177950011,374.67
1778491721.335576350,387.24
1778491721.493543361,386.96
1778491721.655028031,375.47
1778491721.817893662,375.50
1778491721.973117590,387.57
1778491722.135217638,388.02
1778491722.295696625,386.56
1778491722.455899684,376.52
1778491722.614358672,387.54
1778491722.773870834,387.92
1778491722.930268161,387.83
1778491723.092730600,375.82
1778491723.246044448,375.24
1778491723.403865199,387.72
1778491723.563022339,387.20
1778491723.721020116,387.13
1778491723.883490380,374.00
1778491724.041810060,384.56
1778491724.195467747,385.52
1778491724.351382265,385.63
1778491724.508617881,372.18
1778491724.666589372,372.93
1778491724.824746234,386.71
1778491724.983606821,385.81
1778491725.143582004,385.75
1778491725.305970907,376.61
1778491725.463669367,379.51
1778491725.622707748,390.32
1778491725.781405544,389.67
1778491725.942856725,374.33
1778491726.122567993,357.17
1778491726.295713006,355.46
1778491726.460129694,348.92
1778491726.614677723,327.91
1778491726.873768978,321.89
1778491727.053547734,326.86
1778491727.356967590,323.20
1778491727.549235269,321.66
1778491728.007695226,325.86
1778491728.277639856,323.16
