1778491906.988825693,280.25
1778491907.192958674,247.35
1778491907.355627492,230.99
1778491907.516146531,199.76
1778491907.686637883,169.01
1778491907.856928037,160.02
1778491908.016433880,160.36
1778491908.174685278,160.52
1778491908.337030929,160.69
1778491908.498618445,158.89
1778491908.665441820,157.96
1778491908.824220006,157.00
1778491908.980684958,156.98
1778491909.141567291,156.93
1778491909.301762835,156.95
1778491909.465195510,156.84
1778491909.649203837,156.90
1778491909.823197814,157.67
1778491909.978005307,174.68
1778491910.137685432,217.04
1778491910.298110380,257.08
1778491910.469928840,277.88
1778491910.627544073,319.72
1778491910.784138155,360.64
1778491910.941357667,380.76
1778491911.096713110,386.09
1778491911.252142820,384.65
1778491911.408201376,386.36
1778491911.567353800,384.46
1778491911.721596446,387.01
1778491911.880420602,385.41
1778491912.041817275,382.20
1778491912.200295969,384.22
1778491912.357153094,383.51
1778491912.513891583,381.74
1778491912.673447568,383.91
1778491912.830954592,384.15
1778491912.990712415,381.97
1778491913.151423790,384.13
1778491913.310980725,383.98
1778491913.467261186,380.64
1778491913.624902325,383.06
1778491913.780965866,383.42
1778491913.936133724,383.18
1778491914.095162944,381.12
1778491914.247889590,381.70
1778491914.408693138,381.54
1778491914.567671830,381.22
1778491914.719322020,380.54
1778491914.873511197,381.15
1778491915.038092480,381.60
1778491915.197756803,382.65
1778491915.358939922,383.03
1778491915.510094130,383.08
1778491915.669686983,383.12
1778491915.833481778,379.76
1778491915.993236139,382.32
1778491916.153508519,382.15
1778491916.308349944,381.49
1778491916.465016629,380.54
1778491916.620751009,380.31
1778491916.778200810,379.99
1778491916.936070274,380.78
1778491917.094173076,380.73
1778491917.250799220,381.22
1778491917.408361404,381.55
1778491917.567937064,382.42
1778491917.727389250,383.68
1778491917.887142541,388.81
1778491918.041053162,381.59
1778491918.196427285,381.75
1778491918.352178776,382.43
1778491918.510546848,384.26
1778491918.674792154,380.33
1778491918.829773216,379.73
1778491918.992667548,379.63
1778491919.148205713,379.64
1778491919.306930530,378.57
1778491919.464567507,378.44
1778491919.622178140,381.03
1778491919.782147939,379.19
1778491919.936947842,379.71
1778491920.128032109,384.62
1778491920.286237835,380.10
1778491920.447109429,379.66
1778491920.607627599,379.65
1778491920.762231128,385.12
1778491920.921432913,379.56
1778491921.076779075,379.40
1778491921.238253151,378.59
1778491921.392207501,376.39
1778491921.554144538,378.02
1778491921.711592175,377.09
1778491921.870818559,384.60
1778491922.026936622,377.21
1778491922.191266782,377.76
1778491922.346441772,378.68
1778491922.507245561,384.66
1778491922.662554593,376.78
1778491922.821108332,377.32
1778491922.983071594,376.25
1778491923.145820545,382.92
1778491923.298435539,374.82
1778491923.455414198,375.85
1778491923.606060956,375.83
1778491923.763459954,383.04
1778491923.916789576,375.52
1778491924.079509176,375.69
1778491924.234854268,375.52
1778491924.396930740,382.48
1778491924.560872329,375.67
1778491924.724599868,375.61
1778491924.877255078,378.24
1778491925.041165632,384.19
1778491925.199552891,375.05
1778491925.353528270,376.40
1778491925.510707272,376.74
1778491925.666700511,383.63
1778491925.825352679,374.41
1778491925.988633338,374.53
1778491926.149141040,374.93
1778491926.305928346,382.69
1778491926.459019860,382.79
1778491926.615772217,374.54
1778491926.772073462,374.72
1778491926.935234236,383.92
1778491927.093445277,383.53
1778491927.250975980,374.64
1778491927.407392799,375.04
1778491927.566382520,381.61
1778491927.727458273,383.79
1778491927.888677178,383.57
1778491928.047906856,374.57
1778491928.206316977,376.10
1778491928.363384308,382.51
1778491928.520185063,381.92
1778491928.680715403,373.33
1778491928.837689940,373.47
1778491928.993114691,383.50
1778491929.150500289,382.25
1778491929.311223788,382.78
1778491930.138254442,373.66
1778491931.276252596,382.11
1778491931.432972877,382.58
1778491931.587951736,382.99
1778491931.741172567,374.24
1778491931.897308998,374.00
1778491932.055991602,383.83
1778491932.207491713,382.87
1778491932.375404502,383.86
1778491932.535998987,371.47
1778491932.715479895,378.92
1778491932.877517733,379.88
1778491933.041425187,379.43
1778491933.195880170,370.54
1778491933.349684469,370.52
1778491933.506777136,381.68
1778491933.671532621,382.37
1778491933.831671048,380.71
1778491933.986998911,372.06
1778491934.141701243,371.22
1778491934.293356347,381.28
1778491934.450200934,381.39
1778491934.604674005,378.55
1778491934.756597288,370.17
1778491934.915134695,372.02
1778491935.065602385,381.29
1778491935.229847682,381.26
1778491935.384407257,380.80
1778491935.541388144,371.27
1778491935.698087003,373.46
1778491935.852991970,381.86
1778491936.008044787,381.66
1778491936.177358121,381.75
1778491936.341599932,369.92
1778491936.492185675,380.37
1778491936.656984119,379.66
1778491936.812612499,380.25
1778491936.977518066,367.74
1778491937.134728065,369.19
1778491937.300021471,382.35
1778491937.464892780,381.05
1778491937.623114878,381.81
1778491937.779854567,375.10
1778491937.941118212,370.49
1778491938.096537560,381.01
1778491938.255141451,381.64
1778491938.407869391,381.04
1778491938.565586336,368.77
1778491938.726331393,369.15
1778491938.887779021,380.22
1778491939.044919617,379.08
1778491939.204581520,380.05
1778491939.364746894,371.65
1778491939.519911216,367.53
1778491939.689459130,379.79
1778491939.857521737,379.62
1778491940.015903876,380.06
1778491940.180086645,367.65
1778491940.340869257,368.72
1778491940.495366404,380.85
1778491940.652923326,380.46
1778491940.811309165,380.67
1778491940.962869250,380.99
1778491941.117346605,371.94
1778491941.272193697,384.47
1778491941.435923039,384.03
1778491941.593190417,384.06
1778491941.752139077,380.25
1778491941.917129024,368.14
1778491942.086157574,365.13
1778491942.253351513,354.85
1778491942.425982686,350.57
1778491942.596629007,339.12
1778491942.764796917,332.39
1778491942.935155012,334.49
1778491943.105797248,334.53
1778491943.270684587,334.05
1778491943.438417341,332.99
1778491943.598656075,332.40
1778491943.769482101,332.58
1778491943.933441203,332.71
1778491944.109290602,332.76
1778491944.280545758,332.17
1778491944.456866002,333.48
1778491944.620356179,334.38
1778491944.783538408,334.37
1778491944.948145232,325.93
1778491945.102958678,293.75
